symbol,condition,window_h,n_occurrences,win_rate,baseline_wr,edge_vs_base,avg_return,median_return,edge_score
VETUSDT,strong_mom_down,12,31,0.871,0.424,0.447,0.0259,0.0242,2.1677366737311523
ARPAUSDT,squeeze_breakout_down,24,44,0.8409,0.515,0.3259,0.0178,0.0188,1.817837470651584
ARPAUSDT,low_volatility,24,54,0.8148,0.515,0.2998,0.0145,0.0124,1.7950623116323083
XRPUSDT,rsi_below_40,24,232,0.5905,0.419,0.1715,0.0066,0.0043,1.542510108521335
ARPAUSDT,bb_squeeze,24,345,0.6406,0.515,0.1256,0.0069,0.0091,1.4944662829938022
XRPUSDT,trend_down,24,480,0.5438,0.419,0.1247,0.0064,0.0029,1.485683415535291
VETUSDT,strong_mom_down,4,31,0.8065,0.476,0.3305,0.0066,0.0088,1.4840778473247072
DOGEUSDT,trend_down,24,455,0.5451,0.423,0.1221,0.0099,0.0052,1.4197031446541795
AAVEUSDT,strong_mom_down,12,119,0.6387,0.455,0.1837,0.0123,0.0057,1.2799103563533956
FLOWUSDT,trend_mixed,24,200,0.525,0.356,0.169,0.0348,0.0047,1.2547609832155286
VETUSDT,trend_down,24,463,0.5227,0.412,0.1107,0.0062,0.0028,1.245060962414059
INJUSDT,bb_squeeze,12,251,0.5657,0.427,0.1387,0.0014,0.0033,1.2430812062799972
LDOUSDT,high_volatility,24,43,0.7442,0.493,0.2512,0.015,0.0096,1.2258674923461297
DOGEUSDT,rsi_30_50,24,523,0.5239,0.423,0.1009,0.0054,0.0028,1.2089000877856255
ADAUSDT,trend_down_oversold,24,190,0.5579,0.402,0.1559,0.0062,0.0056,1.1988898325315378
ARPAUSDT,bb_squeeze,12,345,0.6058,0.5,0.1058,0.002,0.0045,1.1904865255495807
OPUSDT,bb_near_lower,24,222,0.5811,0.447,0.1341,0.0068,0.0074,1.1610639492055301
FLOWUSDT,rsi_above_65,4,94,0.6383,0.453,0.1853,0.0177,0.0108,1.1467379640376651
DOGEUSDT,trend_down,12,455,0.5319,0.432,0.0999,0.0042,0.0012,1.1334468944437255
BNBUSDT,bb_lower_high_volume,12,69,0.6522,0.444,0.2082,0.0029,0.0039,1.127940173362874
SOLUSDT,ranging_bb_upper,4,58,0.6897,0.482,0.2077,0.0077,0.0031,1.090964752298448
XRPUSDT,rsi_below_40,12,232,0.5517,0.423,0.1287,0.003,0.003,1.0814975085928176
PEPEUSDT,momentum_continuation_up,1,41,0.6585,0.403,0.2555,0.0045,0.0057,1.077304842794305
DOGEUSDT,price_below_ema50,24,582,0.5103,0.423,0.0873,0.0063,0.0021,1.0747347821020077
SUIUSDT,strong_mom_down,12,83,0.6386,0.456,0.1826,0.0119,0.0053,1.0623527185529469
ADAUSDT,rsi_below_40,24,332,0.5151,0.402,0.1131,0.0033,0.0011,1.0615078169428172
LTCUSDT,trend_down,24,411,0.5523,0.458,0.0943,0.004,0.0035,1.0558631835207313
ARPAUSDT,low_volatility,12,54,0.7037,0.5,0.2037,0.0086,0.0067,1.0533566950430748
INJUSDT,rsi_below_30,4,63,0.6508,0.447,0.2038,0.0045,0.0049,1.052742118411447
XRPUSDT,rsi_below_30,4,63,0.6667,0.469,0.1977,0.0037,0.0021,1.0461823748983587
LTCUSDT,price_below_ema50,24,522,0.5421,0.458,0.0841,0.0035,0.0035,1.0416232245537906
XRPUSDT,trend_down,12,480,0.5146,0.423,0.0916,0.0033,0.0011,1.0327278149296686
BNBUSDT,momentum_4h_pos,12,107,0.6075,0.444,0.1635,0.0053,0.0032,1.027438719087269
DOGEUSDT,rsi_below_40,24,261,0.5402,0.423,0.1172,0.0093,0.0049,1.022827615731023
INJUSDT,trend_down,24,463,0.527,0.437,0.09,0.0007,0.0051,1.0205719321537312
ARPAUSDT,price_below_ema50,24,484,0.593,0.515,0.078,0.0044,0.0052,1.017588
LDOUSDT,high_volatility,12,43,0.6977,0.477,0.2207,0.0129,0.0135,1.009730056250095
BNBUSDT,oversold_high_volume,12,50,0.66,0.444,0.216,0.0048,0.0031,1.0080514272595422
PEPEUSDT,bb_upper_high_volume,1,64,0.6094,0.403,0.2064,0.0033,0.0029,1.00624128
SUIUSDT,strong_mom_down,4,83,0.6386,0.467,0.1716,0.0029,0.0027,0.9983555668328897
ETHUSDT,trend_down,24,391,0.5729,0.485,0.0879,0.0107,0.0068,0.9957632087655816
ADAUSDT,rsi_below_35,24,199,0.5327,0.402,0.1307,0.0044,0.0034,0.9821658341072999
XRPUSDT,trend_down_oversold,24,124,0.5726,0.419,0.1536,0.0055,0.0041,0.9793848957408676
XRPUSDT,bb_near_lower,12,231,0.5411,0.423,0.1181,0.0027,0.0029,0.9712553442682058
ARPAUSDT,rsi_below_30,12,36,0.7222,0.5,0.2222,0.0098,0.0083,0.9628370399999999
XRPUSDT,bb_near_lower,24,231,0.5368,0.419,0.1178,0.0011,0.0013,0.9610894003984072
AAVEUSDT,squeeze_breakout_down,24,40,0.65,0.419,0.231,0.0137,0.0115,0.9496319813485645
VETUSDT,price_below_ema50,24,575,0.4922,0.412,0.0802,0.0032,0.0002,0.9465638185855828
XRPUSDT,bb_lower_high_volume,12,67,0.6119,0.423,0.1889,0.006,0.0061,0.9461278195134435
ARPAUSDT,trend_down,24,354,0.5989,0.515,0.0839,0.0048,0.0052,0.9454050219490118
PEPEUSDT,trend_down,24,525,0.4781,0.392,0.0861,0.0035,0.0,0.9431951238159856
VETUSDT,rsi_below_40,24,283,0.5194,0.412,0.1074,0.0034,0.0019,0.9384247307351978
SOLUSDT,rsi_30_50,24,464,0.5388,0.459,0.0798,0.0053,0.0047,0.9261673539484352
XRPUSDT,rsi_below_35,24,128,0.5625,0.419,0.1435,0.0052,0.0039,0.9132284079024262
XRPUSDT,rsi_30_50,24,500,0.5,0.419,0.081,0.0015,0.0007,0.9056075308874149
BNBUSDT,very_high_volume,12,86,0.6047,0.444,0.1607,0.0029,0.0035,0.9011665666491587
BNBUSDT,high_volume,12,166,0.5663,0.444,0.1223,0.0013,0.0025,0.8923332228239049
DOGEUSDT,price_below_ema50,12,582,0.5052,0.432,0.0732,0.0035,0.0003,0.8921459643237686
SOLUSDT,trend_down,24,393,0.542,0.459,0.083,0.0074,0.0055,0.8918127028855332
AAVEUSDT,trend_down,24,454,0.5022,0.419,0.0832,0.0052,0.0026,0.8902827550645279
LTCUSDT,trend_down_oversold,4,110,0.6182,0.481,0.1372,0.0019,0.0027,0.8895686202760166
DOGEUSDT,strong_mom_down,12,75,0.6,0.432,0.168,0.0069,0.0038,0.8729536070147143
ZECUSDT,bb_expansion,24,214,0.5467,0.438,0.1087,0.005,0.0065,0.8693316765407305
SOLUSDT,price_below_ema50,24,518,0.5309,0.459,0.0719,0.0063,0.0049,0.8687733606412458
LDOUSDT,high_volatility,4,43,0.6744,0.478,0.1964,0.0088,0.0075,0.8685468966110124
ARPAUSDT,trend_down,12,354,0.5791,0.5,0.0791,0.0048,0.0042,0.8618499870633749
AAVEUSDT,trend_down,12,454,0.5308,0.455,0.0758,0.003,0.002,0.8572905692891055
UNIUSDT,ranging_bb_upper,24,43,0.6512,0.453,0.1982,0.0249,0.0127,0.8463544262644467
ARPAUSDT,squeeze_breakout_up,24,35,0.7143,0.515,0.1993,0.0088,0.0092,0.8422130587612636
PEPEUSDT,momentum_continuation_up,4,41,0.6341,0.427,0.2071,0.0097,0.0081,0.8408717854518226
FLOWUSDT,rsi_above_65,12,94,0.5638,0.41,0.1538,0.0382,0.0088,0.840708297550844
ETHUSDT,rsi_below_30,4,69,0.6522,0.499,0.1532,0.0028,0.0019,0.8299732687761397
UNIUSDT,high_volatility,4,60,0.6333,0.466,0.1673,0.0034,0.0043,0.8206936141650464
NEARUSDT,momentum_continuation_up,24,54,0.6111,0.43,0.1811,0.0201,0.0136,0.8132566326799809
VETUSDT,trend_down_oversold,24,141,0.539,0.412,0.127,0.0052,0.0019,0.8128343388840066
XRPUSDT,price_below_ema50,24,602,0.4867,0.419,0.0677,0.0031,0.0005,0.8084408696145909
ATOMUSDT,rsi_below_30,4,73,0.6164,0.463,0.1534,0.0031,0.0025,0.8078847675813454
XRPUSDT,bb_near_lower,4,231,0.5628,0.469,0.0938,0.0016,0.0011,0.8023482636248536
AAVEUSDT,squeeze_breakout_down,12,40,0.65,0.455,0.195,0.0065,0.0128,0.8016373868526844
ARPAUSDT,bb_near_lower,24,201,0.607,0.515,0.092,0.0071,0.0092,0.791725343497352
SOLUSDT,bb_upper_high_volume,12,56,0.6071,0.433,0.1741,0.001,0.0052,0.7909572614695421
PEPEUSDT,trend_down,12,525,0.4686,0.395,0.0736,0.0018,0.0,0.7902413492015208
FLOWUSDT,bb_expansion,12,237,0.5105,0.41,0.1005,0.0213,0.0038,0.7898342842535467
ARPAUSDT,price_below_ema21,24,478,0.5774,0.515,0.0624,0.0043,0.007,0.7877262490893222
XRPUSDT,momentum_12h_neg,4,169,0.574,0.469,0.105,0.0018,0.0018,0.7835099999999999
BNBUSDT,trend_down,24,427,0.5129,0.439,0.0739,0.002,0.0018,0.7832331760875906
VETUSDT,trend_down,12,463,0.4968,0.424,0.0728,0.0032,-0.0004,0.7782219247961476
DOGEUSDT,bb_near_lower,4,203,0.5665,0.471,0.0955,0.0011,0.0013,0.7708170363738645
BNBUSDT,rsi_below_30,12,74,0.5946,0.444,0.1506,0.0035,0.0014,0.770310356129802
LTCUSDT,rsi_30_50,24,450,0.5267,0.458,0.0687,0.0009,0.0029,0.7675847049426173
BTCUSDT,rsi_30_50,24,418,0.5359,0.466,0.0699,0.0012,0.0033,0.7658594467492753
